statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Acceleration Sensor|[-0.20470424,2.267309,9.726444]|1500643337935
516|MPU6500 Gyroscope Sensor|[0.0063915867,-0.026631612,-0.007456851]|1500643337935
516|MPU6500 Acceleration Sensor|[-0.46208093,2.208651,9.755175]|1500643337940
516|MPU6500 Gyroscope Sensor|[0.022370555,-0.023435818,-0.007456851]|1500643337940
516|MPU6500 Acceleration Sensor|[-0.5686229,2.2876596,9.336189]|1500643337946
516|MPU6500 Gyroscope Sensor|[0.020240024,-0.017044231,-0.004261058]|1500643337946
516|MPU6500 Acceleration Sensor|[-0.29688102,2.3008277,8.723274]|1500643337950
516|MPU6500 Gyroscope Sensor|[0.0031957934,-0.01917476,-0.0053263223]|1500643337950
516|MPU6500 Acceleration Sensor|[-0.4333505,2.2337902,8.731653]|1500643337955
516|MPU6500 Gyroscope Sensor|[-0.01917476,-0.023435818,-0.008522116]|1500643337955
516|MPU6500 Acceleration Sensor|[-0.581791,2.1799207,8.821436]|1500643337960
516|MPU6500 Gyroscope Sensor|[-0.025566347,-0.01917476,-0.0063915867]|1500643337960
516|MPU6500 Acceleration Sensor|[-0.48961425,2.208651,8.479065]|1500643337964
516|MPU6500 Gyroscope Sensor|[-0.0127831735,-0.024501082,-0.007456851]|1500643337964
516|MPU6500 Acceleration Sensor|[-0.48961425,2.208651,8.479065]|1500643337967
516|MPU6500 Gyroscope Sensor|[-0.0127831735,-0.024501082,-0.007456851]|1500643337967
516|MPU6500 Acceleration Sensor|[-0.51834464,2.135628,8.591593]|1500643337970
516|MPU6500 Gyroscope Sensor|[-0.0127831735,-0.02130529,-0.008522116]|1500643337971
516|MPU6500 Acceleration Sensor|[-0.046686932,2.0219033,8.220491]|1500643337976
516|MPU6500 Gyroscope Sensor|[-0.0127831735,-0.024501082,-0.0127831735]|1500643337976
516|MPU6500 Acceleration Sensor|[-0.046686932,2.0219033,8.220491]|1500643337978
516|MPU6500 Gyroscope Sensor|[-0.0127831735,-0.024501082,-0.0127831735]|1500643337978
516|MPU6500 Acceleration Sensor|[-0.17597382,2.0266917,8.815451]|1500643337981
516|MPU6500 Gyroscope Sensor|[-0.027696876,-0.02876214,-0.013848438]|1500643337981
516|MPU6500 Acceleration Sensor|[-0.45370123,2.1547816,8.839393]|1500643337987
516|MPU6500 Gyroscope Sensor|[-0.014913702,-0.01917476,-0.0127831735]|1500643337987
516|MPU6500 Acceleration Sensor|[-0.41180268,2.2397757,9.279925]|1500643337991
516|MPU6500 Gyroscope Sensor|[0.007456851,-0.015978966,-0.011717909]|1500643337990
516|MPU6500 Acceleration Sensor|[-0.23702596,2.1499932,9.762358]|1500643337996
516|MPU6500 Gyroscope Sensor|[0.013848438,-0.015978966,-0.010652645]|1500643337997
516|MPU6500 Acceleration Sensor|[-0.30885202,1.8986019,9.707291]|1500643338002
516|MPU6500 Gyroscope Sensor|[0.015978966,-0.015978966,-0.011717909]|1500643338002
516|MPU6500 Acceleration Sensor|[-0.30885202,1.8986019,9.707291]|1500643338004
516|MPU6500 Gyroscope Sensor|[0.015978966,-0.015978966,-0.011717909]|1500643338004
516|MPU6500 Acceleration Sensor|[-0.5315128,1.7202339,9.953894]|1500643338008
